AP48,A-015(a),The American Jewish Experience In Song,,Chicago Board of Jewish Educat,,x,5,"33 1/3 rpm 12""/Audio CD copy",,English,Historical,,,2,See CD for Audio. Not made into mp3 files to match tracks.,,,,,x
AP49,A-016(a),"Play My Balalaika    The Andreyev Balalaika Ensemble,  Vol 2",,Monitor Records MFS 713,,x,5,"33 1/3 rpm 12""/Audio CD copy x141",,,Instrumental/Russian,New York,,12,,local,,,,x
AP50,A-017(a),After 50 Long and Longing Years    Historic Visit to America,נאָך 50 לאַנגע און בײנקענדע יאָרן   װיזיט פֿון מאָסקעװער רבֿ,MOHIR JEC 2330 (Two Album Set),,x,5,,,,,,,,,,,,,
AP51,A-018(a),"Adama        Chant, Danses Et Musiques Des Traditions Juives",,Mary Melody 67 398,,x,5,Audio CD copy x140,,,,,,12,,,,,,x
AP52,A-019(a),Billy Amstell's Jewish Party with Harold Bevens,,Zodiac Records ZR 1015,,x,5,Audio CD copy x143,,,,,,18,,,,,,x
AP53,A-020(a),Victoria de los Angeles   Spanish Folk & Ten Sephardic Songs,,Angel S 36716,,x,5,Audio CD copy x142,,Spanish,,,,25,,,,,,x
AP54,A-021(a),Israel Today              Songs in Hebrew by the Trio Aravah,,Capitol Records T10505,,x,5,"33 1/3 rpm 12""/Audio CD copy x137",,Hebrew,,,,,"Trio Aravah is composed of Arie Lavie, Simon (Shimon?) Israeli -
and Zvi Borodovski. Recording made in 1957.-",,,,,
AP55,A-022(a),Aleph Duo                             A to Z in Jewish Music,,AZ 19851,,x,5,Audio CD copy x136,,,,,,,,,,,,
AP56,A-023(a),Jewish Songs      Our Favorite Melodies featuring June Astor,,Tikva Records T 3,,x,5,"33 1/3 rpm 10""/Audio CD copy x139",,Yiddish,Theatre/Folk,New York,,6,,local,,,,
AP57,A-024(a),Songs Of Rabbi Nakhman of Breslov/Sung..David Rafael Ben Ami,ניגוני הרבּי נחמן מבּרסלב    ר' דוד רפאל בּן-עמי,Galpaz    פּז גל,,x,5,Audio CD copy x138,,,,,,,,,,,,
AP58,A-025(a),Cantor Zvee Aroni                     Synagogue Masterpieces,,Magnetic Mrr 350,,x,5,"Audio CD/33 1/3 rpm 12""",,Hebrew,Cantorial/Religious,"Delray Beach, FL",,9,"LP produced in Philadelphia, PA, reissued on CD by Benjamin Roth (Aroni)",http://faujsa.fau.edu/aroni/aroni_playlist.php?jsa_num=100001&queryWhere=jsa_num&queryValue=100001,1959,"CD Donated to the Library by J. Benjamin Roth (Aroni), Delray Beach, FL",,x
AP59,A-026(a),15 Chants Juifs Pour Vioncelle Et Piano,Piano & Jewish Songs For Cello,ADDA 581117 (CD),,,,,,,,,,,,,,,,x
AP60,A-027(a),Bruce Adler                An Evening At The Yiddish Theatre…,..,.0000000000000000000000000000000000000++,,,,,,,,,,,,,,,,x
AP61,A-027(b),Bruce Adler       An Evening At The Yiddish Theatre -Act II-,,CD Privately Issued AD-CD018,,,,,,,,,,,,,,,,x
AP62,A-028(a),Yiddish Songs Mama Never Taught Me              Patsy Abbott,"שירים בּאידית, אמא לא לימדה אותי.",Roulette R 25267,,x,6,"33 1/3rpm 12""/Audio CD copy x149",,Yiddish,Off Color/Vulgar/Double Entendre/Scatalogical,USA,,11,,local,,,,
AP63,A-029(a),Israel Today               Songs of Jerusalem by the Amranim,,Verve FTS 3043,,x,6,Audio CD copy x148,,Hebrew,Israeli,,,11,,,,,,x
AP64,A-030(a),Music For A Jewish Wedding   Danny Albert And His Orcherstra,,Time Records Series 2000 52181,,x,6,Audio CD copy x151,,,,,,,,,,,,x
AP65,A-031(a),Sharona Aron sings Israeli Songs,,Angel Records ANG 65018,,x,6,Audio CD copy x150,,Hebrew,,,,,,,,,,x
AP66,A-032(a),Hanna Ahroni                                 Songs of Israel,,Decca Records DL 8937,,x,6,Audio CD copy x146,,Hebrew,Israeli/Concert,,,13,,,,,,x
AP67,A-033(a),The Austin Klezmorim                              Texas Klez,,BA Music (Cassette),,,,Cassette/ Audio CD copy,,,,,,17,,local,,,x,x
AP68,A-033(b),The Austin Klezmorim                          East of Odessa,,BA Music,,,,,,,,,,,,,,,,x
AP69,A-034(a),Sheh'hechiyanu by Mordechai Avraham,,Olam Habah Mus Prod MA 18,,,,Cassette/Audio CD Copy X26,,Hebrew,Religious,"Lakewood, NJ",,10,,local,1990,,x,
AP70,A-035(a),Lomp Nokh Nit Farloshn   Jiddische Lieder   Gruppe   Aufwind,לאָמפּ נאָך נישט פֿאַרלאָשן,Bluesong 0175051,,,,Audio CD Copy X27,,Yiddish,Folk/Theater,,,15,,local,,From cassette copy provided by Charlie Bernhaut,,m
AP71,A-035(b),Aufwind      Jiddische Lieder & Klesmermusik    Gassn Singer,גאַסן זינגער,"Nebelhous(?) 011 (CD, Germany)",,,,,,,,,,,,,,,,x
AP72,A-035(c),Aufwind              Junge Jorn             Jiddische Lieder,,Misrach Music MSR 01642 (CD),,,,,,,,,,,,,,,,x
AP73,A-035(d),Aufwind  Jiddische Lieder & Klesmerusik   Awek Di Junge Jorn,,Misrachmusik MSR 01442 (CD),,,,,,,,,,,,,,,,x
AP74,A-036(a),Bonnie Abrams                      A Sudenyu Of Yiddish Song,,CD Privately Issued,,,,,,,,,,,,,,,,x
AP75,A-037(a),"A Musical Tribute to Israel   Sam Appel sings ""Songs I Love""",,Paramount Records 61268,,,,,,,,,,,,,,,,x
AP76,A-038(a),Mark Aizikovitch                   Der Fremde...The Stranger,,Babel BAB 5754,,,,Audio CD,,Yiddish/Russian/Hebrew,Compilation,"Berlin, Germany",,18,,,1994,Gift of Robert & Molly Freedman,,x
AP77,A-039(a),Stempenyu                  The Violin Music of Joseph Achron,סטעמפּעניו     די פֿידל מוזיק פֿון יוסף אחרון,Biddulph Law 021 (CD),,,,,,,,,,,"Hagai Shaham, violin    פֿידל שחם, חגי

Arnon Erez, piano    פּיאַנע ארז, ארנון",,,,,x
