25615,Rejoicing (Warschauer Duo),,Klezmer/Strings,,,Alb W-021(d),,"Hasmode/Bmi Jkezmer Conservatory Band ""A Taste of Paradise: Rounder Records 2003, www.klezmerduo.com",
25616,Mekimi Meafar,,Strings/Vocal/Liturgical,,,,,"from disc ""Bless Hashem Oh my Soul"", IMC 2002",
25617,Levantose el conde niño,,Medevial/Sephardic,,,,,"From the Album Diaspora Sefardi. Romances & Musica Instrumental, Alia Vox, 1999, AV9809 A+B",
25618,Oy Gewald a Ganef,,Neo Klezmer,,,,,from album Oy Division! 2008,
25619,Gate #46,,Classical Guitar,,,,,"Section of the piece ""50 gates of understanding"" courtesy of the Contemporary Jewish Museum",
25620,Una Noche Mas,,Guitar/Sephardic,,,,,"From the Album Mano Suave, Adama Music, (c) 2007 Adama Music, (p) 2007 Adama Music, Licensed by World Village, Distributed by CMD poland",
25621,Hora Capitalei,,Klezmer/March/Brass/Hora,,,,,"dzieki z 2 vanatori r.e. dir. lt. bongard, z kolekcji james i joanes. nagranie zrodlowe dla projektu the other europeans, wspolfinansowanego przez unine erupejska dyrektor artystczny: dr alan bern, partnerzy programu: other music e.V.(weimar, Niemcy) KlezMore Festival (Wieden, Austria), Festiwal Kultury Zydowskiej
---
Thanks to two Vanatori R.E. dir. lt. Bongard, from the collection of James and Joanes. recording source for The Other Europeans project, co-financed by the Director erupejska Unín artystczny: Dr. Alan Bern, program partners: other music eV (Weimar, Germany) KlezMore Festival (Vienna, Austria), Festival of Jewish Culture",
543,A Yidishe Neshome (Medley),אַ ייִדישע נשמה (מעדלי),,,,,,,
16465,Jewish Fanatsy/Grekshisher Tants,,Klezmer/Hora,,,,,,
16466,Plotzer Khosidl,פּלאָצער חסידל,Instrumental/Klezmer/Bulgar,,,,,,
16467,Dodi Li (Di Terkish Khasene),דודי לי (די טערקיש חסונה),Hora/Meditteranean/Biblical/Song of Songs/,Love/Shepherd,CD-100(a)Alb S-033(a),Alb S-002(e)/Alb S-033(a)/,,,CD S-100(a)/Alb S-033(a)/Alb H-026(a)/Alb A-031(a)/
16468,Di Terkish Khasene/Dodi Li,די טערקיש חסונה/דודי לי,,,,,,,
16469,Stara Vronjanka,,Macedonian/Klezmer,,,,,,
16470,Kosher Widow Overture,,Theatre/Instrumental,,,,,,
16471,Gants Long Island Redt,גאַנץ לאָנג אײַלאַנד רעדט,Theatre,Gossip/Place Long Island,,,,,
26107,Blessed is the Match,,Documentary/Historical/Biography,Hannah Senesh/Poetry/Resistance/Palestine/Holocaust/TortureH,,,,,
26089,National Wedding Waltz,נאַציאָנאַל חופּה וואָלטץ,Instrumental/Dance/Folk,,,,Folio 1206,Compiled by J. Fleishmann and arranged for Piano by Maurice Gold,
26090,Wengerke,ווענגערקע,Instrumental/Dance/Folk,,,,Folio 1206,Compiled by J. Fleishmann and arranged for Piano by Maurice Gold,
26091,Roumanian Dance (Horre),רומנישע האָרע,Instrumental/Dance/Folk,,,,Folio 1206,Compiled by J. Fleishmann and arranged for Piano by Maurice Gold,
