37857,23274,Vocal,,
37857,1150,Vocal,,
37857,21978,Vocal,,
37858,2978,,,
37039,1514,Vocal,,
37039,1522,Vocal,,
37039,5831,Vocal,,
37039,16078,Vocal,,
37040,1514,Vocal,,
37040,1522,Vocal,,
37040,5831,Vocal,,
37040,16078,Vocal,,
37041,1514,Vocal,,
37041,1522,Vocal,,
37041,5831,Vocal,,
37041,16078,Vocal,,
37043,1514,Vocal,,
37043,1522,Vocal,,
37043,5831,Vocal,,
37043,16078,Vocal,,
37044,1514,Vocal,,
37044,1522,Vocal,,
37044,5831,Vocal,,
37044,16078,Vocal,,
37045,1514,Vocal,,
37045,1522,Vocal,,
37045,5831,Vocal,,
37045,16078,Vocal,,
37046,1514,Vocal,,
37046,1522,Vocal,,
37046,5831,Vocal,,
37046,16078,Vocal,,
37047,1514,Vocal,,
37047,1522,Vocal,,
37047,5831,Vocal,,
37047,16078,Vocal,,
37050,5038,Composer,,
37050,6053,Artist,,
37059,10688,,,
37059,10690,Clarinet/Musical Direction/Arranger,,
37059,22673,Violin,,
37059,22677,Vocal,,
37059,22678,Viola/Acoustic Guitar,,
37059,22674,Accordion,,
37059,10692,Contra Bass,,
37059,10693,Percussion,,
37059,10689,Keyboards,,
37059,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37059,10694,Bass Trombone,,Guest Artist
37059,22676,Trumpet,,Guest Artist
37052,10688,,,
37052,10690,Clarinet/Musical Direction/Arranger,,
37052,22673,Violin,,
37052,22677,Vocal,,
37052,22678,Viola/Acoustic Guitar,,
37052,22674,Accordion,,
37052,10692,Contra Bass,,
37052,10693,Percussion,,
37052,10689,Keyboards,,
37052,22675,"""Bandolim""  and ""Cavaquinho""",,Guest Artist
37052,10694,Bass Trombone,,Guest Artist
37052,22676,Trumpet,,Guest Artist
37056,10688,,,
37056,10690,Clarinet/Musical Direction/Arranger,,
37056,22673,Violin,,
37056,22677,Vocal,,
43033,20200,Double Bass/Vocal,,Member Pressburger Klezmer Band
43033,24633,Arranger,,
43035,20196,Violin,,Member Pressburger Klezmer Band
43035,24629,Accordion,,Guest
43035,8659,Clarinet/Arranger,,Guest
32853,5378,Vocal/Accordion/Arranger,,
32853,20357,Clarinet,,
32853,20356,Accordion,,
32854,20354,Violincello,,
32854,20355,Violin,,
32854,5378,Vocal/Accordion,,
32854,20357,Clarinet,,
32854,20356,Accordion,,
32855,20354,Violincello,,
32855,20355,Violin,,
32855,5378,Vocal/Accordion/Arranger,,
32855,20357,Clarinet,,
32855,20356,Accordion,,
32856,20354,Violincello,,
32856,20355,Violin,,
32856,5378,Vocal/Accordion,,
32856,20357,Clarinet,,
32856,20356,Accordion,,
32857,20354,Violincello,,
32857,20355,Violin,,
32857,5378,Vocal/Accordion/Arranger,,
32857,20357,Clarinet,,
32857,20356,Accordion,,
33775,1838,Vocal,,
33775,10637,Piano,,
33776,1838,Vocal,,
33776,10637,Piano,,
33777,1838,Vocal,,
33777,10637,Piano,,
37797,4384,Vocal,,
37798,4384,Vocal,,
37799,4384,Vocal,,
37800,4384,Vocal,,
37801,4384,Vocal,,
37802,4384,Vocal,,
37804,2289,,,
37804,4384,Vocal,,
37805,7842,Vocal,,
37807,7842,Vocal,,
37808,7842,Vocal,,
37809,7842,Vocal,,
37810,7842,Vocal,,
37811,7842,Vocal,,
37812,7842,Vocal,,
37815,7842,Vocal,,
37816,7842,Vocal,,
37817,7842,Vocal,,
