artist
Alois Kaiser
Gottfried Federlein
Salomon Rozowsky
Louis Lewandowski
Sternberg
Moritz Deutsch
Arno Nadel
Gerovitsch
Aryeh Leib Rutman
Irving Sacks
Abraham Reisen
Moses J. Saitz
Matilda St. Claire
Peretz Sandler's Orchestra
Simon Schlager
Mark Schneid
Israel Schorr
Fanny Schreiber
Estella Schreiner
Berta Schulman
Susman Kisselhoff
Lazare Saminsky
H. Kopit
Yiddisher Orchestra
Jewish-Russian Orchestra
Orquesta Oriental
Russian Folks Orchestra
Jewish Orchestra
Russky Narodny Orkestr
Orkiestra Wiejska
Polska Orkiestra Columbia
A. Schwartz Orchestra
Abe Schwartz's Orchestra
Sylvia Schwartz
Abe Schwartz Orchestra
Morris Fried
Columbia Ukrainian Orchestra
Orchestra De A. Negrescu
Ukrainian Orchestra
Abe Schwartz Dance Orchestra
Kabareto Orkestra
Kabaretowa Orkiestra
Abe Schwartz's Orkester
Columbijos Orchestra
Russkyj Orkestr
Max Petrovsky
Russkij Orkestr ''Novinka''
Mischa
Orkiestra Stefana
Lietuviu Orkestra ''Lyra''
Orkestra Chernigivska
Orkestra Chernigivska'
Klaipeda Lithuanian Orchestra
Tanieczna Orkiestra Krakowska
Maurice Schwartz
"Chorus From The N.Y. ''Yiddish Art Theatre"",No"""
L. Andreeff
William Schwartz
Nathaniel Shilkre
Rose Greenfield
S. Froog
Rachel Rosenfield
Charlie Cohan
JWilliam Schwartz
oshua Samuel Weisser
Mogin David Orchestra
Anna Toback
Frank Seiden
Munia Serebroff
Dmitry Pokrass
Pavel German
L. Driso
Toiber
Bernardi
Joseph Shapiro
Meyer Machtenburg's Choir
Mendel Shapiro
Joseph Schribman
Mordechai Shapiro
Nina Sheikevitz
Joseph Shlisky
Josef Shlisky
Joseph Schoengold
Art Shryer
Art Shryer's Modern Jewish Orchestra
Art Shryer 's Yiddish Orchestra
Polska Orkiestra Narodowa
Art Shryer's Orchestra
Henach Shuster
Jacob Silbert
Morris Silver
Sam Silverbush
Ruth Miller
Sadie Wachtel
M. Shapiro
Silverbush
Abraham Silverbush
J. Lillian
Alex Silverstein
May Simon
Frances Simonoff
Menasha Skulnik
Halfernus
Acadas Yitzchak
M. Rubinstein
Rooney
H. Komopott
Gilroy
Rosela Soffian
Carl Correda Ross
Sokoloff's Yiddish Orchestra
Myra Sokolskaya
Sherman Soloff
Moishele Soorkis
Amalie Springer
Chaim Steifman
Morris Stein
Bernhard Steinberg
David Moses Steinberg
Morris Steinberg
Maer Steinwortzel
Sam Stern
Solomon Stramer
Scherman
S.H. Cohen
O. Gruner
Benumen Blanc
Alsaneski
Herman Suchovisky
M. Suchow
Abraham Sukoenig
Marksohn
Lyda Paalzow
Friedrich Wilhelm Kücken
Anna Zeeman
David Tarris Orchestra
Kwartet D. Tarasiego
Irving Graetz
Dave Tarras Jewish Instrumental Trio
Sam Blank
Jack Fiedel
J. Gratz
Tarras Instrumental Trio
E. Schlein
Tenen Holtz
Bessie Thomashefsky
Kornblath
Sololarefsky
Morris Tuchband
P. Singer
Samuel Vigoda
Maxim Vodianoy
Leibele Waldman
Eliyahu
Bessie Weissman
May Singhi Breen
Jack Shilkret
Max Weissman
Dora Weissman
Max Weismann
Kamele Weitz
Zeuberg
Max Willner
Gall Stones
AMax Wilner
braham Ellstein
Joseph Winogradoff
M. Shalitt
Gioachino Rossini
Bernard Woolff
Workmen's Circle
Max Yenkowitz
Goldberg
Max Yankowitz
Mordecai Yardeni
B. Fiedler
Daniel Yates
Joe Gould
Al Dubin
Jewish National Workers Alliance
Sophie Kemper
Sonia Gladstone
S. Young
S. Young's Yiddisher Orchestra
Jacob Zanger
B. F. Zeidman
Cohan
Bracha Zfirah
Levin Kipnis
Nahum Nardi
Avraham Broides
Regina Zuckerberg
Frida Zwiebel
Bomberg
Yetta Zwerling
