"trackID","catalogueNumber"
"R10682","LP-1"
"R10683","FAM-1009"
"R10684","GRC 214"
"R10685","GRC 214"
"R10686","E845"
"R10687","9302-A / 9302-B"
"R10688","V-59030-A / V-59030-B"
"R10689","38-1013-A / 38-1013-B"
"R1069","9233-A / 9233-B"
"R10690","25-5157-A / 25-5157-B"
"R10691","57052-F"
"R10692","DH 501"
"R10693",""
"R10694","57024-F"
"R10695","B-2073-A / B-2073-B"
"R10696","57077-F"
"R10697","RP 200"
"R10698","L-5881"
"R10699","25371"
"R107","SA 32027"
"R1070","63177"
"R10700","13242"
"R10701","V-9012-A / V-9012-B"
"R10702","73113-B / 73113-A"
"R10703","C13000-A / C13000-B"
"R10704","HHS 1"
"R10705","P4PM-6115"
"R10706","BAN 14116"
"R10707","G1"
"R10708","G1"
"R10709","BAN 14838"
"R1071","S 63664"
"R10710","BAN 14078"
"R10711","G 5766"
"R10712","GALTON-5766"
"R10713",""
"R10714","LP-GK-2686"
"R10715","E-63"
"R10716","111"
"R10717","T-71"
"R10718","M/103"
"R10719","120533"
"R1072","LPS-451"
"R10720","102546"
"R10721","S 63253"
"R10722",""
"R10723","KBY"
"R10724","E-62"
"R10725","E-67"
"R10726","62"
"R10727","116 / 117"
"R10728","JEC 1001"
"R10729","112"
"R1073","63845"
"R10730",""
"R10731","68105M"
"R10732","IS 2004"
"R10733","JEC 1001"
"R10734","STS-7786"
"R10735","CP 789"
"R10736","SI 31176"
"R10737","HP29560"
"R10738","E-53"
"R10739",""
"R1074","BAN 14570"
"R10740","AN 47-02"
"R10741","53633"
"R10742","BAN 14162"
"R10743",""
"R10744","VV30448"
"R10745","BAN14493"
"R10746","CBS 82757"
"R10747","MN-46"
"R10748","MN-46"
"R10749","CBS 82760"
"R1075","SRD 005"
"R10750","CBS 82760"
"R10751","40-82760"
"R10752","MN-46"
"R10753","1002 / 1008"
"R10754","1 / 2"
"R10755","AD 134"
"R10756","617"
"R10757","KT 10800"
"R10758","LB 2641"
"R10759","B3-904-A / B3-904-B"
"R1076","SRD 005"
"R10760","E3561"
"R10761","45485-A / 45485-B"
"R10762","LB-2640"
"R10763","WB-2156"
"R10764","A 67154 / B 67154"
"R10765","A 14711 / B 14711"
"R10766","12175"
"R10767","E4355"
"R10768","N-9-SH-RH-Y"
"R10769","1-25816"
"R1077","EKL-166"
"R10770","8.26841"
"R10771","626841"
"R10772","20-2865-A / 20-2865-B"
"R10773","YY 777"
"R10774","SW103"
"R10775","84800"
"R10776","36429"
"R10777","AN 48-41"
"R10778","AN 47-05"
"R10779","S-613"
"R1078","EKS-7166"
"R10780","M-613"
"R10781","602 A / 602 B"
"R10782","E2405"
"R10783","35426"
"R10784","M-201 A / M-201 B"
"R10785","JB 1801"
"R10786","FRS118"
"R10787","ES 103"
"R10788","S 62886"
"R10789","R 25157"
"R1079","  1"
"R10790","BAN 14749"
"R10791","8XT SR 1803"
"R10792",""
"R10793","SR 25157"
"R10794","SI 31023"
"R10795","CPS 9206"
"R10796","385 145"
"R10797","PCD 546"
"R10798","CCD 546"
"R10799","EULP 1060"
"R108","SA 32039"
"R1080","27053"
"R10800","65099"
"R10801",""
"R10802","3029"
"R10803","A-103"
"R10804","YS606"
"R10805",""
"R10806","50018-A / 50018-B"
"R10807","100591"
"R10808","RR 35032"
"R10809","704"
"R1081","I.H.G. 13"
"R10810","SR 17701"
"R10811","PRT 14609"
"R10812","81902"
"R10813"," 82270A; 82270B"
"R10814","CBS462887"
"R10815","CBS26301"
"R10816","ATO 8605"
"R10817","6201"
"R10818","CVR-2066"
"R10819","PLD 2066"
"R1082","BH 32"
"R10820","25-5103-A / 25-5103-B"
"R10821","T-81"
"R10822","KB 103"
"R10823","KB 103"
"R10824","WWS-568-A / WWS-568-B"
"R10825","200T"
"R10826","200CD"
"R10827","GRC 410"
"R10828","GRC 410"
"R10829","EKL-146"
"R1083","BH 44"
"R10830","EKS-7146"
"R10831","EKL-`"
"R10832","11039-A / 11039-B"
"R10833","FS 23390"
"R10834","BAN 14492"
"R10835","CBS84566"
"R10836","L-5865"
"R10837","17131"
"R10838","62535"
"R10839","BMN-555"
"R1084","69461-A / 69461-B"
"R10840","C-SF 40054"
"R10841","45-95"
"R10842","H-4"
"R10843","227-D"
"R10844","74503"
"R10845","502"
"R10846",""
"R10847",""
"R10848","L-5869"
"R10849","BAN 14989"
"R1085","169"
"R10850","ICD 5116"
"R10851","DJ 1167"
"R10852","C-5887"
"R10853","MN-557"
"R10854","AP 217"
"R10855","79356 / 79357"
"R10856","S 63135"
"R10857","53-5148"
"R10858","38-1037-A / 38-1037-B"
"R10859","38-1026-A / 38-1026-B"
"R1086","SACD-39-40"
"R10860","25-5148"
"R10861","38-1027-A / 38-1027-B"
"R10862","2318a / 2318b"
