"trackId","sectionNum","matrixNum","placePerformed","instrumentation"
"S1258","16.880","B 30718-4 ","Camden, NJ","Vocal & Orchestra"
"S1259","16.880","B 30719-4 ","Camden, NJ","Vocal & Orchestra"
"S126","16.180","58560-1","NY","Tenor"
"S1260","16.880","B 29317-3 ","NY","Vocal, Chorus, Orchestra"
"S1261","16.880","B 32644-1 ","NY","Vocal & Orchestra"
"S1262","16.880","B 32908-1 ","NY","Vocal & Orchestra"
"S1263","16.880","BVE 32783-1 ","Camden, NJ","Spoken"
"S1264","16.880","BVE 32784-2 ","Camden, NJ","Spoken"
"S1265","16.880","BVE 32785-2 ","Camden, NJ","Spoken"
"S1266","16.880","BVE 32786-2 ","Camden, NJ","Spoken"
"S1267","16.880","W 105970-3 ","NY","Vocal & Orchestra"
"S1268","16.880","W 105971-1 ","NY","Vocal & Orchestra"
"S1269","16.880","W 106226-2 ","NY","Vocal & Orchestra"
"S127","16.180","58561-1","NY","Tenor"
"S1270","16.880","W 106227-2 ","NY","Vocal & Orchestra"
"S1271","16.880","BVE 35169-3 ","Camden, NJ","Vocal & Orchestra"
"S1272","16.880","BVE 35170-3 ","Camden, NJ","Vocal & Orchestra"
"S1273","16.880","W 106981-3 ","NY","Vocal"
"S1274","16.880","W 106982-3 ","NY","Vocal"
"S1275","16.880","E 27467","NY","Vocal & Orchestra"
"S1276","16.880","E 27468","NY","Vocal & Orchestra"
"S1277","16.880","E 27469","NY","Vocal & Orchestra"
"S1278","16.880","E 27470","NY","Vocal & Orchestra"
"S1279","16.880","W109364-1 ","NY","Vocal & Orchestra"
"S128","16.180","84535-1","NY","Tenor & Orchestra"
"S1280","16.880","W 109365-2 ","NY","Vocal & Orchestra"
"S1281","16.880","BVE 55129-2 ","NY","Vocal & vln, vc, p "
"S1282","16.880","BVE 55130-2 ","NY","Vocal & vln, vc, p "
"S1283","16.880","BVE 55131-2 ","NY","Spoken"
"S1284","16.880","BVE 55132-2 ","NY","Spoken"
"S1285","16.890","N105174","NY","Soprano & Orchestra"
"S1286","16.890","N105176","NY","Soprano & Orchestra"
"S1287","16.890","N 105299","NY","Soprano & Orchestra"
"S1288","16.890","N 105300","NY","Soprano & Orchestra"
"S1289","16.890","89974","NY","Soprano "
"S129","16.180","84536-2","NY","Tenor & Orchestra"
"S1290","16.890","89975-1 ","NY","Soprano"
"S1291","16.890","2608-2","NY","Soprano & Orchestra"
"S1292","16.890","2609-1","NY","Soprano & Orchestra"
"S1293","16.890","N 105750","NY","Soprano & Orchestra"
"S1294","16.890","N105751","NY","Soprano & Orchestra"
"S1295","16.890","N 106450","NY","Soprano"
"S1296","16.890","N 106451","NY","Soprano"
"S1297","16.890","N 106571","NY","Soprano"
"S1298","16.890","N 106572","NY","Soprano"
"S1299","16.890","N 107148","NY","Soprano & Orchestra"
"S13","16.100","19238-2","NY","Tenor, Orchestra"
"S130","16.180","84894-1-2","NY","Tenor & Orchestra"
"S1300","16.890","N 107150","NY","Soprano & Orchestra"
"S1301","16.890","W 107670-2 ","NY","Soprano & Orchestra"
"S1302","16.890","W 107671-2 ","NY","Soprano & Orchestra"
"S1303","16.890","W 108441-2 ","NY","Soprano & Orchestra"
"S1304","16.890","W 108442-2 ","NY","Soprano & Orchestra"
"S1305","16.890","W 109072-2 ","NY","Soprano"
"S1306","16.890","W 109073-1 ","NY","Soprano"
"S1307","16.890","W 109797-1 ","NY","Soprano & Orchestra"
"S1308","16.890","W 109798-2 ","NY","Soprano & Orchestra"
"S1309","16.890","W 206173-3 ","NY","Soprano & Orchestra"
"S131","16.180","84895-1-2","NY","Tenor & Orchestra"
"S1310","16.890","W 206174-4 ","NY","Soprano & Orchestra"
"S1311","16.890","W 110531-3 ","NY","Soprano & Orchestra"
"S1312","16.890","W 110532-2 ","NY","Soprano & Orchestra"
"S1313","16.890","E 31282-B ","NY","Soprano & Orchestra"
"S1314","16.890","E 31283-B ","NY","Soprano & Orchestra"
"S1315","16.890","E 31604-B ","NY","Soprano & Orchestra"
"S1316","16.890","E 31605-B ","NY","Soprano & Orchestra"
"S1317","16.900","B 17680-1 ","NY","Tenor & Orchestra"
"S1318","16.900","B 17681-1 ","NY","Tenor & Orchestra"
"S1319","16.900","44737-4 ","NY","Tenor & Orchestra"
"S132","16.180","85382-1","NY","Tenor "
"S1320","16.900","44738-3 ","NY","Tenor & Orchestra"
"S1321","16.900","44974-1-2","NY","Tenor & Orchestra"
"S1322","16.900","44975-1-4","NY","Tenor & Orchestra"
"S1323","16.900","84052-2 ","NY","Tenor & Orchestra"
"S1324","16.900","84057-1 ","NY","Tenor & Orchestra"
"S1325","16.900","84426-2 ","NY","Tenor & Orchestra"
"S1326","16.900","84428-1 ","NY","Tenor & Orchestra"
"S1327","16.900","84429-3 ","NY","Tenor & Orchestra"
"S1328","16.900","84985-2-3","NY","Tenor & Orchestra"
"S1329","16.900","x","NY","Tenor"
"S133","16.180","85407-1","NY","Tenor"
"S1330","16.900","x","NY","Tenor"
"S1331","16.900","85104-2 ","NY","Tenor & Orchestra"
"S1332","16.900","86752-1 ","NY","Tenor & Orchestra"
"S1333","16.900","86753-2 ","NY","Tenor & Orchestra"
"S1334","16.900","86754-2 ","NY","Tenor & Orchestra"
"S1335","16.900","86755-3 ","NY","Tenor & Orchestra"
"S1336","16.900","B 24699-1 ","NY","Tenor & Orchestra"
"S1337","16.900","B 24700-2 ","NY","Tenor & Orchestra"
"S1338","16.900","B 24701-2 ","NY","Tenor & Orchestra"
"S1339","16.900","B 24700-3 ","NY","Tenor & Orchestra"
"S134","16.180","6165","NY","Tenor & Orchestra"
"S1340","16.900","B 24937-1 ","NY","Tenor & Orchestra"
"S1341","16.900","42074-3 ","NY","Tenor & Orchestra"
"S1342","16.900","42075-1 ","NY","Tenor & Orchestra"
"S1343","16.900","87908","NY","Tenor & Orchestra"
"S1344","16.900","87916","NY","Tenor & Orchestra"
"S1345","16.900","B 25892-2 ","NY","Tenor & Orchestra"
"S1346","16.900","B 26017-2 ","NY","Tenor & Orchestra"
"S1347","16.900","8514","NY","Tenor & Orchestra"
"S1348","16.900","8516","NY","Tenor & Orchestra"
"S1349","16.900","x","NY","Tenor & Orchestra"
"S135","16.180","6168","NY","Tenor & Orchestra"
"S1350","16.900","x","NY","Tenor & Orchestra"
"S1351","16.900","B 26237-3 ","NY","Tenor & Orchestra"
"S1352","16.900","B 26238-2 ","NY","Tenor & Orchestra"
"S1353","16.900","7802","NY","Tenor & Orchestra"
"S1354","16.900","7803-A ","NY","Tenor & Orchestra"
"S1355","16.900","7804","NY","Tenor & Orchestra"
"S1356","16.900","7805-A ","NY","Tenor & Orchestra"
"S1357","16.900","7676","NY","Tenor & Orchestra"
"S1358","16.900","7678","NY","Tenor & Orchestra"
"S1359","16.900","88571","NY","Tenor & Orchestra"
"S136","16.190","58559-1 ","NY","Soprano & Orchestra"
"S1360","16.900","88572","NY","Tenor & Orchestra"
"S1361","16.900","88587-1 ","NY","Tenor & vln, unk cl, p"
"S1362","16.900","88588-1 ","NY","Tenor & vln, unk cl, p"
"S1363","16.900","42270-2 ","NY","Tenor, Orchestra, Chorus"
"S1364","16.900","42271-2 ","NY","Tenor & Orchestra"
"S1365","16.900","7893","NY","Tenor & Orchestra"
"S1366","16.900","7896","NY","Tenor & Orchestra"
"S1367","16.900","B 26328-3 ","NY","Tenor & Orchestra"
"S1368","16.900","B 26329-2 ","NY","Tenor & Orchestra"
"S1369","16.900","9852","NY","Tenor"
"S137","16.190","58653-1 ","NY","Soprano & Orchestra"
"S1370","16.900","9854","NY","Tenor"
"S1371","16.900","9856","NY","Tenor"
"S1372","16.900","9860","NY","Tenor"
"S1373","16.900","B 26907-3 ","NY","Tenor & Orchestra"
"S1374","16.900","B 26915-2 ","NY","Tenor & Orchestra"
"S1375","16.900","B 26907-6 ","NY","Tenor & Orchestra"
"S1376","16.900","B 26936-1 ","NY","Tenor & Orchestra"
"S1377","16.900","S 70968-B ","NY","Tenor & Orchestra"
"S1378","16.900","S 70969-A ","NY","Tenor & Orchestra"
"S1379","16.900","x","NY","Tenor & Orchestra"
"S138","16.190","84521-1","NY","Soprano, Violin, Piano"
"S1380","16.900","x","NY","Tenor & Orchestra"
"S1381","16.900","B 27075-2 ","Camden, NJ","Tenor & Orchestra"
"S1382","16.900","B 27076-3 ","Camden, NJ","Tenor & Orchestra"
"S1383","16.900","S 71119-A ","NY","Tenor, Choir, Orchestra"
"S1384","16.900","S 71120-A ","NY","Tenor, Choir, Orchestra"
"S1385","16.900","S 71121-B ","NY","Tenor, Choir, Orchestra"
"S1386","16.900","S 71122-C ","NY","Tenor, Choir, Orchestra"
"S1387","16.900","x","NY","Tenor & Orchestra"
"S1388","16.900","x","NY","Tenor & Orchestra"
"S1389","16.900","x","NY","Tenor & Orchestra"
"S139","16.190","84522-1-2","NY","Soprano, Violin, Piano"
"S1390","16.900","x","NY","Tenor & Orchestra"
"S1391","16.900","42301-1 ","NY","Tenor & Orchestra"
"S1392","16.900","42302-1 ","NY","Tenor & Orchestra"
"S1393","16.900","89009","NY","Tenor"
