"trackID","albumID"
"P5791","AP1054"
"P6216","AP1054"
"P6930","AP1054"
"P7990","AP1054"
"P8132","AP1054"
"P11616","AP1055"
"P11769","AP1055"
"P12535","AP1055"
"P13037","AP1055"
"P13778","AP1055"
"P15579","AP1055"
"P1644","AP1055"
"P17210","AP1055"
"P17819","AP1055"
"P18989","AP1055"
"P19293","AP1055"
"P3821","AP1055"
"P4433","AP1055"
"P4821","AP1055"
"P4891","AP1055"
"P5104","AP1055"
"P5341","AP1055"
"P7085","AP1055"
"P8955","AP1055"
"P9013","AP1055"
"P9231","AP1055"
"P10874","AP1056"
"P11115","AP1056"
"P12194","AP1056"
"P1458","AP1056"
"P14619","AP1056"
"P17849","AP1056"
"P19209","AP1056"
"P19553","AP1056"
"P3329","AP1056"
"P3336","AP1056"
"P4807","AP1056"
"P5840","AP1056"
"P6756","AP1056"
"P9522","AP1056"
"P10257","AP1057"
"P10692","AP1057"
"P11345","AP1057"
"P11705","AP1057"
"P15415","AP1057"
"P15428","AP1057"
"P15444","AP1057"
"P17109","AP1057"
"P5329","AP1057"
"P6015","AP1057"
"P6162","AP1057"
"P6540","AP1057"
"P7921","AP1057"
"P9571","AP1057"
"P10388","AP1058"
"P10909","AP1058"
"P10966","AP1058"
"P15999","AP1058"
"P16707","AP1058"
"P16746","AP1058"
"P16826","AP1058"
"P16981","AP1058"
"P17385","AP1058"
"P17404","AP1058"
"P18119","AP1058"
"P18571","AP1058"
"P18654","AP1058"
"P18668","AP1058"
"P20393","AP1058"
"P4484","AP1058"
"P10062","AP1059"
"P11772","AP1059"
"P12169","AP1059"
"P18833","AP1059"
"P3322","AP1059"
"P4092","AP1059"
"P5993","AP1059"
"P8064","AP1059"
"P10247","AP106"
"P10769","AP106"
"P12364","AP106"
"P12918","AP106"
"P13528","AP106"
"P13923","AP106"
"P15231","AP106"
"P15241","AP106"
"P17950","AP106"
"P18950","AP106"
"P6234","AP106"
"P7267","AP106"
"P12320","AP1060"
"P13065","AP1060"
"P14815","AP1060"
"P12298","AP1061"
"P14351","AP1061"
"P15337","AP1061"
"P18665","AP1061"
"P4958","AP1061"
"P5277","AP1061"
"P5946","AP1061"
"P6551","AP1061"
"P8349","AP1061"
"P8644","AP1061"
"P890","AP1061"
"P9003","AP1061"
"P9851","AP1061"
"P10336","AP1062"
"P10412","AP1062"
"P10760","AP1062"
"P11025","AP1062"
"P11470","AP1062"
"P11671","AP1062"
"P11704","AP1062"
"P11711","AP1062"
"P12738","AP1062"
"P13233","AP1062"
"P13400","AP1062"
"P13403","AP1062"
"P13489","AP1062"
"P13844","AP1062"
"P14108","AP1062"
"P15179","AP1062"
"P19447","AP1062"
"P4733","AP1062"
"P5299","AP1062"
"P5692","AP1062"
"P6451","AP1062"
"P6491","AP1062"
"P7890","AP1062"
"P10248","AP1063"
"P11959","AP1063"
"P13732","AP1063"
"P1451","AP1063"
"P19530","AP1063"
"P20681","AP1063"
"P4482","AP1063"
"P6270","AP1063"
"P6935","AP1063"
"P7670","AP1063"
"P10192","AP1064"
"P10684","AP1064"
"P11080","AP1064"
"P12132","AP1064"
"P13627","AP1064"
"P13810","AP1064"
"P14528","AP1064"
"P14656","AP1064"
"P1562","AP1064"
"P16127","AP1064"
"P16642","AP1064"
"P17320","AP1064"
"P2393","AP1064"
"P4713","AP1064"
"P12111","AP1065"
"P12345","AP1065"
"P13757","AP1065"
"P17322","AP1065"
"P3058","AP1065"
"P4779","AP1065"
"P5418","AP1065"
"P7269","AP1065"
"P7428","AP1065"
"P8134","AP1065"
"P8203","AP1065"
"P9111","AP1065"
"P9154","AP1065"
"P9497","AP1065"
"P19855","AP1066"
"P19856","AP1066"
"P19857","AP1066"
"P19858","AP1066"
"P20132","AP1066"
"P20133","AP1066"
"P20134","AP1066"
"P20135","AP1066"
"P20136","AP1066"
"P20137","AP1066"
"P20138","AP1066"
"P20139","AP1066"
"P20140","AP1066"
"P21419","AP1066"
"P21420","AP1066"
"P21421","AP1066"
"P21422","AP1066"
"P21504","AP1066"
"P20453","AP1067"
"P20454","AP1067"
"P20455","AP1067"
"P19905","AP1068"
