16585,Mazeltov Der Schweiger (Greetings To Mother In Law); Dos Yiddishe Chosedl,10/25/1927,1927,
16586,Lebedig Naftuli (The Lively Naftuli)-Bulgar ,10/25/1927,1927,
16587,Mazeltov Der Schweiger {Greetings To Mother In Law}; Dos Yiddishe Chosedl ,12/13/1927,1927,
16588,Lebedig Naftuli (The Lively Naftuli) ,12/13/1927,1927,
16589,Kleine Princessin (Little Princess) (Bulgarian Freilach),04/25/1941,1941,
16590,Freilicher Yontov (Happy Holiday) (Naftuly's Own No. 1),04/25/1941,1941,
16591,Naftuly's Freilach,04/25/1941,1941,
16592,Nifty's Eigene,04/25/1941,1941,
16593,Jewish Folk Songs-Pt. 1 ,1/19/1928,1928,
16594,Jewish Folk Songs-Pt. 2,1/19/1928,1928,
16595,Zion Mein Heilig Land (Zion My Holy Land),10/17/1921,1921,Ted Levy (celeste)
16596,Mein Yingele (My Little Boy) ,10/17/1921,1921,
16597,Elshaday,10/1921,1921,
16598,Meyerke Mein Sohn,10/1921,1921,
16599,Yom Kippur (Cry Of Atonement),07/1922,1922,
16600,Israel,07/1922,1922,In English
16601,Zehn Bruder ,07/1922,1922,
16602,A Bal-Agaloh ,07/1922,1922,
16603,Shmilik Un Azrilik,02/1924,1924,
16604,Zug Mir Di Shain Maidele ,02/1924,1924,
16605,Hamavdil (The Sabbath Prayer) ,03/1924,1924,
16606,"Got, Far Vus Strufst Du Deine Kinder ",03/1924,1924,
16607,"imelach Zwei, from ''Mendel In Japan'' ",04/1924,1924,
16608,Rivkeniu,04/1924,1924,
16609,Korutz Mechoimer ,04/1924,1924,
16610,Lo Sachmoid ,04/1924,1924,
16611,Die Hoffnung Far Frieden ,06/1924,1924,
16612,Al Cheyt ,06/1924,1924,
16613,"Feigele, from ''Di Ziese Liebe''",07/1924,1924,
16614,"Mames, Hiet Eiere Techter ",07/1924,1924,
16615,Umipnei Chatoeinu-Pt. 1 ,03/1926,1926,
16616,Umipnei Chatoeinu-Pt. 2 ,03/1926,1926,
16617,"Kinder, Kinder ",1905,1905,
16618,Der Shalach Moneis ,1905,1905,
16619,Die Shtot Ierusalim ,1905,1905,
16620,Der Alte Shtot Madrid ,1905,1905,
16621,"Die Trehrin, fun ''Antlofenem Soldat'' ",1905,1905,
16622,Off Iener Seit ,1905,1905,
16623,Ich Bleib Abocher ,1905,1905,
16624,Die Heimat,1905,1905,
16625,Sisu Weisimehu (Gebrochene Herzer),1905,1905,
16626,Schloff Liebes Kind ,1905,1905,
16627,Der Arbeiter Un Der Frihling ,1905,1905,
16628,Kidesh UHD&C ,1905,1905,
16629,Die 4 Chasidim ,1905,1905,
16630,Sisu Weisimehu,1905,1905,
16631,Die 4 Tele Lekers ,1905,1905,
16632,Jsrulick Kum Aheim ,1905,1905,
16633,Gott Un Sein Mishpot Is Gerecht ,1905,1905,
16634,Die 4 Hebrew Sports ,1905,1905,
16635,Isele Belsaks Tanoim ,1905,1905,
16636,Tanz In Jerushelajim (Dance In Jerusalem) ,9/3/1929,1929,
16637,Beim Rebben In Palestine (With The Rabbi In Palestine) (Simchas Torah Dance),9/3/1929,1929,
16638,Osczarowana Dziewczyna (Fascinating Girl)-Polka ,9/3/1929,1929,
16639,Der Yiddisher Tanz In Jerushelajim (Jewish Dance In Jerusalem),9/3/1929,1929,
16640,Przyjaciele Na Zawsze (Pals Forever)-Polka ,9/3/1929,1929,
16641,Chernovitzer Bulgar ,9/3/1929,1929,
16642,test recording ,07/14/1917,1917,
16643,Jugend,2/21/1918,1918,
16644,Jugend (Youth),04/19/1918,1918,
16645,Halt' Us (Hold It),04/19/1918,1918,
16646,A Massage (A Message) ,04/19/1918,1918,
16647,Der Frieden (Peace),04/24/1918,1918,
16648,A Massage (A Message),05/02/1918,1918,
16649,Dos Gevain Fon Isroel (Cry Of Israel),03/06/1922,1922,"This artist also recorded material for Harmony (1929) and Brunswick (1936, with a ''Swing Symphony Orchestra'')."
16650,Somneiynia (A Doubt) ,03/06/1922,1922,
16651,Die Frehliche Schneiderlach ,1923-1924,1923,"""There is a possibility that Burstein also recorded four titles as ROMAN BOGDANOWICZ in Columbia's 18000-F Polish series."""
16652,Cheinevdige Chinke,1923-1924,1923,"""with E. Troy"""
16653,Odesskaya Svadba ,01/1924,1924,In Russian
16654,Zenilsia Ya Na Evotchku ,01/1924,1924,In Russian
16655,"Na Dir Und Veis, from ''Tchastushkes'' ",12/1924,1924,
16656,"Husha, Shusha! ",12/1924,1924,
16657,O Katarina ,05/1925,1925,
16658,"Gelacht Und Gevaint-Cha, Cha, Cha ",05/1925,1925,
16659,Die Polische Chassene ,07/1925,1925,
16660,Fitia-Diritia ,07/1925,1925,
16661,Git Mir Die Meidlach Fun Amol ,08/1925,1925,
16662,By Mir Geht Alles Mit A Sistem ,08/1925,1925,
16663,Der Schneider Mit'n Shuster ,09/1925,1925,
16664,Chayeh-Yite ,09/1925,1925,
16665,Die Kalike ,10/1925,1925,
16666,Shpielendig,10/1925,1925,
16667,"Hop, Mein Meidele ",12/1925,1925,
16668,"Yes Sir, Zi Iz Mein Kalleh ",12/1925,1925,
16669,Dos Eppele ,01/1926,1926,
16670,"Oi, Hob Ich A Kalleh ",01/1926,1926,
16671,Yiddish,03/1926,1926,
16672,"Yerusholaim, Slavny Gorod",03/1926,1926,
16673,"A Lesson In Liebe, fun ''A Lesson In Liebe''",04/1926,1926,
16674,Ich For Aheim,04/1926,1926,
16675,"In Odess, In Odess, fun ''Volodka In Odess'' ",04/1926,1926,
16676,"Aptziu! Tzu Gezund-Tchastushkes, fun ''Volodka In Odess''",04/1926,1926,
16677,"Motke, fun ''Ziese Liebe'' ",07/1926,1926,
16678,Dizer Dalym ,07/1926,1926,
16679,Hitch-Hatch!-Tchastushkes ,10/1926,1926,
16680,Lamtza-Deritza! ,10/1926,1926,
16681,Purim Iz Der Bester Yom Tov ,01/1927,1927,
16682,Eirev Peisech ,01/1927,1927,
16683,Ich Ken Dos Nit,03/1927,1927,
16684,Ot Dos Hob Ich Amol Gekent ,03/1927,1927,
16685,Vos Zol Ich Ton? ,06/1927,1927,
16686,Die Zieben Veiber! ,06/1927,1927,
16687,Dem Shuster's Farlang Iz A Hammer Mit A Tzvang ,08/1927,1927,
16688,Bum-Tchik-Tchik! ,08/1927,1927,
16689,"Vos Toig Es Aich, Vos Darft Ihr Es, fun ''Zein Yiddish Meidel''",09/1927,1927,
16690,"Ai-Dai-Derai-Dai-Tchastushkes, fun ''Zein Yiddish Meidel''",09/1927,1927,
16691,"I Like She, fun ''A Nacht In California'' ",11/1927,1927,
16692,"Petrograd, fun ''A Nacht In California'' ",11/1927,1927,
16693,"Tru-La-La, fun ''Ven Liebe Ruft''",01/1928,1928,
16694,Abisele Fun Du Un Abisele Fun Dort,01/1928,1928,
16695,"Die Fier Natzionen, fun ''Ven Liebe Ruft''-Pt. 1",02/1928,1928,
16696,"Die Fier Natzionen, fun ''Ven Liebe Ruft''-Pt. 2",02/1928,1928,
16697,"A Sach Meloches Un Venig Broches, fun ''Dem Tatens Zuhndele''",03/1928,1928,
16698,A Kalleh Bazetzen ,05/1928,1928,
16699,Die Bobe Mit'n Zeiden ,05/1928,1928,
16700,Russland-Russland ,05/1928,1928,
16701,Laugh! Clown! Laugh! ,05/1928,1928,
16702,Ramona ,05/1928,1928,
16703,Der Nayer Al Chet ,07/1928,1928,
16704,Der Nayer Mai Ko Mashma Lon ,07/1928,1928,
16705,"Nehm Fun Dem Leben Vi Es Geht, fun ''Zein Mame's Geliebter''",09/1928,1928,
16706,"Nu, A Daigeh, fun ''Dos Lied Fun Liebe'' ",09/1928,1928,
16707,"Hurray Far New York, fun ''Dos Lied Fun Liebe'' ",09/1928,1928,
16708,"Halleluja, Ich Bin A Bom ",09/1928,1928,
16709,Zuhnele Meins (Sonny Boy) ,10/1928,1928,
16710,"Men Ken Leben Nor Men Lozt Mit, fun ''Dos Circus Meidel''",10/1928,1928,
16711,Piri-Diri-Diorgala ,12/1928,1928,
16712,"Eliohu Hanovi, Eliyohu Hatishbi ",12/1928,1928,
16713,Shlof Mein Kind ,01/1929,1929,
16714,Wen Ich Bin Reich ,01/1929,1929,
16715,Shlof Mein Kind ,02/1929,1929,
16716,Der Galicianer Cavallero (A Gay Caballero),02/1929,1929,
16717,Sheindele,02/1929,1929,
16718,"Hotza Mamma, Pirba Tzotza ",04/1929,1929,
16719,"Alein ''Sam"" ",04/1929,1929,
16720,Beigelach,05/1929,1929,
16721,"Yidden, Loift Tzum Rebbin",05/1929,1929,
16722,Dos Leben Fun A Tramp-Pt. 1 ,10/1929,1929,
16723,Dos Leben Fun A Tramp-Pt. 2,10/1929,1929,
16724,A Lustige Minut ,12/1929,1929,
16725,Whoopee,12/1929,1929,
16726,V'hakohanim,1916,1916,
16727,Od Yiskor Ionu-Pt. 1 ,1916,1916,
16728,Od Yiskor Ionu-Pt. 2,1916,1916,
16729,V'cach Hoyo Omer ,1916,1916,
16730,Omnom Ken-Pt. 1,1916,1916,
16731,Omnom Ken-Pt. 2,1916,1916,
16732,Getin Zich ,04/15/1918,1918,
16733,If I Were A Child Again ,11/10/1920,1920,
16734,Wen Ich Sol Vieder Kenen Zain A Kind ,02/1921,1921,
16735,"Mister, By Vos Arbeit Ihr ",02/1921,1921,
16736,Wer Darf A Weib?,02/1921,1921,
16737,Chiri Biri Bom ,03/1921,1921,
16738,Chicken,03/1922,1922,
16739,Tzu Mein Sheine Chassene ,03/1922,1922,
16740,Men Shpielt In Dreidel ,03/1922,1922,
16741,Meine Sheine Mishpoche ,03/1992,1922,
16742,"Chiri Biri Bim, from ""Gett Married'' ",09/1922,1922,
16743,"Gett Married, from ''Gett Married'' ",09/1922,1922,
16744,The Wise Jew ,09/1922,1922,
16745,Yosel,10/1923,1923,
16746,Wie Lang Leibt Men? ,10/1923,1923,
16747,Yosef,10/1923,1923,
16748,Yoineh,10/1923,1923,
16749,Mein Yussel (My Yussel),11/23/1923,1923,
16750,"Wie Lang Lebt Min (Life Is Short, Let's Be Merry)",11/23/1923,1923,
16751,Mein Yussel (My Yussel),12/7/1923,1923,
16752,Chune Die Bist Mein Matune,02/11/1924,1924,
16753,"Oi! Sa Mechaie, Oi S' iz Git (Oh, What Pleasure, It's So Good), from
 ''Zise Liebe'' (Sweet Love)
",02/11/1924,1924,
16754,"Der Rebe Un Die Rebetzen (The Rabbi And His Wife)
 (Oi Is Dus A Rebetzen) (Sha, Sha, Der Rebe Geht) (Sh, Sh,
 The Rabbi Comes)
",02/11/1924,1924,
16755,Der Shlisel ,03/04/1924,1924,
16756,Ich Vell Ihm Gehen ,03/04/1924,1924,
16757,A Letter To My Husband,03/1924,1924,
16758,Who Wants A Girl,03/1924,1924,
16759,Chune Die Bist Mein Matune ,04/11/1924,1924,
16760,Ich Vel l Ihm Gehen ,04/11/1924,1924,
16761,Tzipke,05/07/1924,1924,
16762,"Chune, Bizt Mein Matoneh ",07/01/1924,1924,
16763,Ich Vel Ihm Gehen ,07/01/1924,1924,
16764,Letter To My Husband,08/29/1924,1924,
16765,Ver Vill A Moid Mit Alle Males (Who Wants A Girl Without Faults?) (A Girl With Everything),08/29/1924,1924,
16766,Gewald! Wie Is Mein Man? (Where Is My Man?),08/29/1924,1924,
16767,Ich Zich A Shl isel Zu Mein Thir ,1924,1924,
16768,Es Vilt Zich Mir ,1924,1924,
16769,Dos Redele Dreht Zich ,1924,1924,
16770,"Est, Trinkt Und Lacht Zich Aus Fun Yeden ",1924,1924,
16771,Kushnirkes,01/1925,1925,
16772,Moisheh! ,01/1925,1925,
16773,A Brivel Tzie Mein Man ,02/02/1925,1925,
16774,"Moische, from ''A Night Of Love'' ",02/02/1925,1925,
16775,Ich Vil Sich Shpi Ien ,02/27/1925,1925,
16776,Oisgeshpilt,02/27/1925,1925,
16777,Est Trinkt Und Lacht (Eat Drink And Laugh),03/03/1925,1925,
16778,Me Shokeltsich (Shimmying) ,03/03/1925,1925,
16779,Heibt Zich Meidelach ,03/1925,1925,
16780,Yeder Tchepet Zich Tzu Mir ,03/1925,1925,
16781,Itzek Mit'n Smitchek ,05/1925,1925,
16782,"Chayim, Chayim ",07/1925,1925,
16783,Oisgeshpielt,08/1925,1925,
16784,Vu Zenen Meine Zieben Gute Yohr? ,08/1925,1925,
16785,"Nel lie, Thu Es Noch Amol ",09/1925,1925,
16786,Ich Bin Farliebt In Mein Eigenem Man ,09/1925,1925,
16787,Tchastushkes,10/1925,1925,
16788,Heibt Die Fiselach! ,10/1925,1925,
16789,"Nellie, Tie Dus Noch Amol (Nellie Do It Again)",1/15/1926,1926,
16790,Ich Bin Ferl iebt In Mein Eigenem Man (I'm In Love With My Own Husband) ,1/15/1926,1926,
16791,"Molly Dolly, from ''Molly Dolly'' ",1/15/1926,1926,
16792,"Wus Zol Ich Tin As Ich Hob Ihm Lieb (What Can I Do, I Love Him), from ''Molly Dolly""",1/15/1926,1926,
16793,Alles Is A Bluff ,01/1926,1926,
16794,Vos Gevehn Iz Nishtu ,01/1926,1926,
16795,Aza Teierer Kosherer Korben (God Take Him) (The Holy Sacrifice),02/10/1926,1926,
16796,Ich Vell Eibig Gedenken Die Nacht (I' ll Always Remember That Night) (Wedding Night),02/10/1926,1926,
16797,Der Zimbel (The Cymbal) ,10/21/1926,1926,
16798,A Malke (A Queen),10/21/1926,1926,
16799,Ydish (Yiddish),10/21/1926,1926,
16800,Avreimel (Abraham),10/5/1927,1927,
16801,Dos Fidele (The Violin),10/5/1927,1927,
16802,Eloheinu Velchei Avoseinu ,05/1919,1919,
16803,Weshomru,05/1919,1919,
16804,Ov Horachmim ,05/1919,1919,
16805,Halel,05/1919,1919,
16806,Zur Isroel ,11/1919,1919,
16807,Habet Mishomaim ,11/1919,1919,
