Title,Catalogue_Number,Year,Artist_Band,Record_Label,Record_Format
A Chosid Beim Rebin,3702 / 3702 B,1925-04,Annie Lubin,Pathe,"78 RPM - 10"""
A Chosid Beim Rebin,03702 B / 03702,1925-04,Annie Lubin,Pathe,"78 RPM - 10"""
A Chulem,1333-X,1919-06,Abraham Rosenstein,Emerson,"78 RPM - 10"""
A Chulem,E3329,1917,Jack Kimelman,Columbia,"78 RPM - 10"""
A Chulim,67748-A / 67748-B,1916-02-11,Jacob Jimmalmon,Victor - His Master's Voice,"78 RPM - 10"""
A Chusidel,B-2020B / B-2020A,,Menasha Oppenheim,Banner,"78 RPM - 10"""
A City of People,LLP-2007,,The Citizens,Laurie,"33 1/3 RPM - 12"""
A Collection,13149,,Arik Einstein,Phonodor,"33 1/3 RPM - 12"""
A Collection of Jewish Folk-Songs,GVR 28,1965,Various,Golden Voice Recordings,"33 1/3 RPM - 12"""
A Concert in Israel,AN 30-65,,Leon Fuld,Hed-Arzi,"33 1/3 RPM - 10"""
A CONCERT OF CANTORS,HRL 1724 A/B,,,Helffrich Recording labs,"33 1/3 RPM - 12"""
A Concert of Jewish Music,GB-OP-7546/7,,Sidor Belarsky,Artistic Enterprises,"33 1/3 RPM - 12"""
A Concert of Jewish Music,CM 530,,Jacob Barkin,Musique Internationale,Cassette tape
A Concert of Jewish Music,B 101,,Sidor Belarsky,Artistic Enterprises,"33 1/3 RPM - 12"""
"A Concert with 'Yossele' Rosenblatt, Volume 11",GRC 192,,Cantor Josef Rosenblatt,Greater Recording Co.,"33 1/3 RPM - 12"""
A Concert with Cantor Erblich,GRC 294,,Cantor Reb Moshe Leib Erblich,Greater Recording Co.,"33 1/3 RPM - 12"""
A Concert with Lillian Lux,LL 400,,Lillian Lux,Privately Issued,Cassette tape
A Cracker Against a Cracker,BAN 14870,,Hagashash of Israel,Hed-Arzi,"33 1/3 RPM - 12"""
A Date,R.V.R. 312,,Margalit Tsanany,Reuveni Bros.,Cassette tape
A Day in the Life …,,,Sam Glaser,Glaser Musicworks,Cassette tape
A Decade of Jewish Choir Masterpieces,D-107,,Samuel Sterner,Shirim,"33 1/3 RPM - 12"""
A Desert Taleq,AN 13-13,,David Eshet,Hed-Arzi,"33 1/3 RPM - 10"""
A Din Toire Mit Got,A 13002 / B 13002,1923-11,Abraham Hyman,Vocalion,"78 RPM - 10"""
A Din-Toire Mit Got ; Frumeleh,274-B / 274-A,,Sidor Belarsky,Musicraft,"78 RPM - 10"""
A Din-Torah Mit Gott,B-2040 A / B-2040 B,,Moyshe Oysher,Banner,"78 RPM - 10"""
A Din-Torah Mit Gott,B-2040 A / B-2040 B,,Moyshe Oysher,Banner,"78 RPM - 12"""
A Disgusted Millionaire,332-A / 332-B,,Benny Bell,Bell Records,"78 RPM - 10"""
A Doina & Skotchna,1135-A / 1135-B,,Hymie Jacobson,DeLuxe,"78 RPM - 10"""
A Doktor Nebbech,CS 5,,Szumacher,OSI Disques,45 RPM
A Dream Comes True,Program #7,,unknown,The Drama of Palestine,"33 1/3 RPM - 16"""
A Dream Comes True / Jewish Brigade,Program #7/8,,unknown,The Drama of Palestine,"33 1/3 RPM - 16"""
A Dream of Romany,A3738,1922-01-24,Paul Specht,Columbia,"78 RPM - 10"""
A Drop of Good Luck / A Little Mazel,300702,,Zahava Ben,Michaels Records,Cassette tape
A Dudele,12-1003-A / 12-1003-B,,Jan Peerce,RCA Victor,"78 RPM - 12"""
A Dudele,TR 520-A / TR 520-B,,Pietro Gentile,Tempo,"78 RPM - 10"""
A Europaische Kolomyka,13254,1924-04,Raderman's and Beckerman's Orchestra,Emerson,"78 RPM - 10"""
A Faith in Songs,MUM9040,,Cantors Benzion Miller; Alberto Mizrahi; Naftalia Herstik,TV Matters,CD
A Family Album,2850,,Cantor Jacob Barkin,Paramount Records,"33 1/3 RPM - 12"""
A Family Guide to Blessings & Prayers: Skills,M08P-2650,,Cantor Maurice Goldberg,Congregation Rodfei Zedek,"33 1/3 RPM - 12"""
A Feature Program on Golf in Israel / Festival of Youth in Israel,VZL 391/392,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
A Feature Program on the Israel Chamber Opera Group / Songs for and About Sabras,VZL 301/302,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
