Title,Catalogue_Number,Year,Artist_Band,Record_Label,Record_Format
Slow Down,13048,,Aric Einstein;Miki Gavrielov,Phonodor,"33 1/3 RPM - 12"""
"Slutzk, Mein Shtetele",B 13029 / A 13029,1925-05-14,Aaron Lebedeff,Vocalion,"78 RPM - 10"""
Small Acts,SVM 002,,Alan Goldberg,Still Voice Multimedia,Cassette tape
Small Talk,13138,,Jonathan Geffen ; The Good Band,Phonodor,"33 1/3 RPM - 12"""
Smile,70431-X45,,Billy Daniels,Mercury Publications,45 RPM
Smile,700T,,Judy Caplan Ginsburgh,Judy Caplan Ginsburgh,Cassette tape
Smile,21228-A / 21228-B,1928-01-24,Paul Whiteman and His Orchestra,Victor - His Master's Voice,"78 RPM - 10"""
Smile to the World,BAN 14172,,Northern Command Variety Ensemble,Hed-Arzi,"33 1/3 RPM - 12"""
Smoke Dreams,25486-A / 25486-B,1936-12-09,Benny Goodman; Helen Ward,Victor - His Master's Voice,"78 RPM - 10"""
Smoke Gets in Your Eyes - Vocadance,B-10824-A / B-10824-B,1940-06-25,Dinah Shore,Bluebird,"78 RPM - 10"""
Smokey Mountain Shabbes,,,David Shneyer with Alan Oresky,Private label,Cassette tape
Smol Y'min,ND8-MC-4140 / ND8-MC-4143,,Brenda Miller; Samuel Kligfeld,RCA Victor,"78 RPM - 12"""
Snatch 'n' Grab It,P-2722,,Irving Fields,Capitol Records,45 RPM
Sneezy the Jester / Giddyap Pony / Hakova Sheli / Purim Dance,ALF 501,,Shirley Cohen; Tamara Bliss; Eli Gamliel,"Aleph, Inc.","78 RPM - 10"""
So Long,B-2586 A / B-2586 B,,Seymour Rechtzeit,Banner,"78 RPM - 10"""
So We Dance,BLP-6,,Ahuva Tsadok; Nachum Nardi,Reena,"33 1/3 RPM - 10"""
"So We Sing - Side 1: Shalom to You, Shabbat Shalom, The Grandest Day, The Shofar Man, L'Shanah Tovah",,,unknown,Jonathan Davis,"78 RPM - 10"""
"So We Sing - Side 3: Birthday of the Trees, Le Us All Be Gay, Purim Prade, The Hamantasch, Pesach Is Near, Here We Go, Chop,Chop,Chop",na,,unknown,Jonathan Davis,"78 RPM - 10"""
Soch Yulad B'selef,E5188,1919-07,Cantor Moses Ganopolsky,Columbia,"78 RPM - 12"""
Socharti Loch,17797-A / 17797-B,1909-06-23,Cantor G. Sirota,Victor - His Master's Voice,"78 RPM - 10"""
Sodom and Gomorrah,LOC 1076,,Stewart Granger; Pier Angeli; Stanley Baker,RCA Victor,"33 1/3 RPM - 12"""
Soft as Spring,36219,1941-06-11,Benny Goodman; Helen Forest,Columbia,"78 RPM - 10"""
Soft Sounds,82758,,The Parvarim,CBS,"33 1/3 RPM - 12"""
"Softly, as in a Morning Sunrise",B-10054-A / B-10054-B,1938-11-17,Artie Shaw,Bluebird,"78 RPM - 10"""
Sog Gottenu Alein,16604-B / 16604-A,1910-07-23,Solomon Smuelwitz; Solomon Small,Victor - His Master's Voice,"78 RPM - 10"""
Sol Meins iber gehen,3018,,Solomon Smuelwitz; Solomon Small,Zon-O-Phone,"78 RPM - 10"" single-sided"
Sol Sein Gelebt,V-9072,1940-02-15,Abe Ellstein's Orchestra,Victor - His Master's Voice,"78 RPM - 10"""
Sol Zim sings Great Jewish Melodies,104,,Sol Zim,Zimray,"33 1/3 RPM - 12"""
Sol Zim sings Great Jewish Melodies,104,,Sol Zim,Zimray,Cassette tape
Sol Zim sings Greatest Jewish Melodies,PSR CD 0011,,Sol Zim,Zimray,CD
Sol Zim sings Greatest Jewish Melodies,111-CD,,Sol Zim,Zimray,CD
Soldatskaya piesnia,E7688,1922-06,David Medoff,Columbia,"78 RPM - 10"""
Soldier songs and Sentimental Ballads,LP 2/3,,Tel Aviv opera Chorus; Worker Chorus,Israel Music Foundation,"33 1/3 RPM - 12"""
Soldiers Singing,BAN 14015,,Various,Hed-Arzi,"33 1/3 RPM - 12"""
Soll Ich Sein A Rov,40130-B / 40130-A,1926-05-19,Isa Kremer,Brunswick,"78 RPM - 10"""
Solnce vschodit I zahodit,E-7555 / E7555,1922-02,David Medoff,Columbia,"78 RPM - 10"""
Solnce vschodit I zahodit,E7555,1922-02,David Medoff,Columbia,"78 RPM - 10"""
Solnce vschodit I zahodit,20210-F,1922-02,David Medoff,Columbia,"78 RPM - 10"""
Solo Flight,36684,1942-03-10,Benny Goodman,Columbia,"78 RPM - 10"""
Solomon and Sheba,UAL 4051,,Yul Brynner; Gina Lollobrigida,United Artists Records,"33 1/3 RPM - 12"""
Solomon Gisser sings Cantorial and Yiddish Selections,GD 1110,,Solomon Gisser,Luna,"33 1/3 RPM - 12"""
Solomon Schecter,ND7-MC-1305 / ND7-MC-1308,,Morton Wishengrad,RCA Victor,"78 RPM - 12"""
Solomon Schecter - Part 2 and Part 5,ND7-MC-1306 / ND7-MC-1309,,Morton Wishengrad,RCA Victor,"78 RPM - 12"""
Solomon Schecter - Part 3,ND7-MC-1307,,Morton Wishengrad,RCA Victor,"78 RPM - 12"" single-sided"
Some Beautiful Morning (I'll Find You in My Arms),A2940,1919-07-23,Al Jolson,Columbia,"78 RPM - 10"""
Some Day You Will Miss Me,66115,1922-10-10,Sophie Braslau,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
Some Enchanted Evening,9-24667,1949-05-31,Al Jolson,Decca,45 RPM
Some Like It Yiddish,UAL 3160,,The Feder Sisters,United Artists Records,"33 1/3 RPM - 12"""
Some Like It Yiddish,UAS 6160,,The Feder Sisters,United Artists Records,"33 1/3 RPM - 12"""
Some of Our Best Songs Are Hebrew,ELS-406,,Shimon & Ilana Gewirtz,Elite Records,"33 1/3 RPM - 12"""
Some of These Days,24289 A / 24289 B,1947-06-30,Sophie Tucker,Decca,"78 RPM - 10"""
Some of These Days,1472 A / 1472 B,1937-09-21,Sophie Tucker,Decca,"78 RPM - 10"""
Somebody Else Is Taking My Place,6497,,Benny Goodman; Peggy Lee,Okeh,"78 RPM - 10"""
Somebody Else Is Taking My Place; Why Don't You Do Right,38198,1941-11-03,Benny Goodman; Peggy Lee,Columbia,"78 RPM - 10"""
Somebody Loves Me,25497-A / 25497-B,1936-11-05,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
Somebody Loves Me!,66084,1922-05-25,Sophie Braslau,Victrola Record,"78 RPM - 10"" single-sided"
Somebody Nobody Loves,6542,,Benny Goodman; Peggy Lee,Okeh,"78 RPM - 10"""
Someday Sweetheart,25181-A / 25181-B,1935-07-13,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
Someday We Will All Be Together,JEP 400,,Rivie Schwebel; Berel Leiner; Ali Scharf,JEP Records,"33 1/3 RPM - 12"""
"Someday, Somehow",SKP 666,,Shimon Kugel,Dolby,"33 1/3 RPM - 12"""
Someone Else May Be There While I'm Gone,A2124,1916-09-19,Al Jolson,Columbia,"78 RPM - 10"""
Somer bei Nacht auf di Decher,3088,1905-02,Frank Seiden,Columbia,"78 RPM - 7"""
Something Crazy,BAN 14086,,The Ohel Theater,Hed-Arzi,"33 1/3 RPM - 12"""
Something New,36209 / 36109,1941-05-05,Benny Goodman,Columbia,"78 RPM - 10"""
Something of Everything,ISRS 1032,,Northern Command Veriety Ensemble,EMI,"33 1/3 RPM - 12"""
"Something Olde, Something New",NYAX5,,Fay Nicoll,Private label,"33 1/3 RPM - 12"""
Something Spanish,ABCS578,,The Barry Sisters,ABC-Paramount,"33 1/3 RPM - 12"""
Something Spanish,ABC-578,,The Barry Sisters,ABC-Paramount,"33 1/3 RPM - 12"""
Something Yeshivish,HL600,,Mordechai Zvi Dicker; Shmuel Mendelovwitz,Holyland Music,"33 1/3 RPM - 12"""
Something Yeshivish,HLC 600,,Mordechai Zvi Dicker; Shmuel Mendelovwitz,Holyland Music,Cassette tape
Sometime I Feel Like a Motherless Child,27806-A / 27806-B,1942-02-21,Artie Shaw,Victor - His Master's Voice,"78 RPM - 10"""
Sometime We'll Understand,87326,1921-03-23,Ernestine Schumann-Heink,Victrola Record,"78 RPM - 10"" single-sided"
Sometimes I'm Happy,20599-A / 20599-B,1927-04-14,Nathan Shilkret,Victor - His Master's Voice,"78 RPM - 10"""
Sonata for Violin and Piano,VZ 39,,Zvi Zeitlin; Robert Starer,Vistas of Israel,"33 1/3 RPM - 16"""
"Sonata in A Flat Major, 1st Movement - Moderato cantabile",D.B. 1957,,Artur Schnabel,Gramophone,"78 RPM - 12"""
"Sonata in A Flat Major, 2nd Movement - Allegro molto",D.B. 1958,,Artur Schnabel,Gramophone,"78 RPM - 12"""
"Sonata in A Flat Major, 4th Movement - Adagio ma non troppo",D.B. 1959,,Artur Schnabel,Gramophone,"78 RPM - 12"""
Sonata in A Major - 1st Movement - Allegro moderato,8216-A / 8216-B,1928-12-21,Sergei Rachmaninoff; Fritz Kreisler,Victrola Record,"78 RPM - 12"""
Sonata in A Major - 4th Movement - Allegro vivace,8218-A / 8218-B,1928-12-20; 1928-12-21,Sergei Rachmaninoff; Fritz Kreisler,Victrola Record,"78 RPM - 12"""
Sonata in C Minor: Adagio / Allegro,12-0380-A / 12-0380-B,,Robert Bloom,RCA Victor,"78 RPM - 12"""
"Sonata in F Minor, Op. 57, First Movement: Allegro assai (concluded)",18-0018-A / 18-0018-B,,Artur Rubinstein,RCA Victor,"78 RPM - 12"""
"Sonata in F Minor, Op. 57, First Movement: Allegro assai (Part 1)",18-0017-A / 18-0017-B,,Artur Rubinstein,RCA Victor,"78 RPM - 12"""
"Sonata in F Minor, Op. 57, Second Movement: Andante con moto (Part 1)",18-0019-A / 18-0019-B,,Artur Rubinstein,RCA Victor,"78 RPM - 12"""
Sonata in G Major - Part 1 - 1st Movement - Allegro assai,8163-A / 8163-B,1928-03-22,Sergei Rachmaninoff; Fritz Kreisler,Victrola Record,"78 RPM - 12"""
Sonata in G Major - Part 3 - 2nd Movement - Tempo di Menuetto - concluded,8164-A / 8164-B,1928-03-22,Sergei Rachmaninoff; Fritz Kreisler,Victrola Record,"78 RPM - 12"""
Sonatas,LM-2009,,Vladimir Horowitz,RCA Victor,"33 1/3 RPM - 12"""
Sonate En Sol Majeur (1st Movement - Allegro assai),DB 1463,,Serge Rachmaninoff; Fritz Kreisler,Gramophone,"78 RPM - 12"""
Song and Chant Mosaic,CDK,,Cantor Dora Krakower,Azure Music,"33 1/3 RPM - 12"""
Song and Praise,I 32005,,Chazan Shmuel Lerer,Isradisc Ltd.,"33 1/3 RPM - 12"""
Song Celebration 1976,BAN 14590,1976,Various,Hed-Arzi,"33 1/3 RPM - 12"""
Song Divine,MLP-5005,,Cantor Leibele Waldman,Maloh Recording Co.,"33 1/3 RPM - 12"""
Song for Peace - Military Groups Songs,20199/200,,Military Groups,Hataklit,Cassette tape
Song for the Sabbath Day,CG 603,,Cantor David Roitman,Collector's Guild,"33 1/3 RPM - 12"""
Song for the Sabbath Day,CG 603,1961,Cantor David Roitman,Collector's Guild,"33 1/3 RPM - 12"""
Song From the Heart,HP 29567,,Natan Fetman,For Horace Promotions LTD,"33 1/3 RPM - 12"""
Song of David II,6DD35,,Hazzan David Feuer,Private label,CD
Song of India,71305-D,,Lily Pons,Columbia,"78 RPM - 12"""
Song of Israel - A Musical Narrative,SK 14-LP,,Aureen Portocal; Dave Ballard,Skylark,"33 1/3 RPM - 10"""
Song of Israel / Songs from Israeli Films,VZL 321/322,,Danny Ben Yisrael; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
Song of Solom,3SA001,,Cantor Shlomo Mandel,Universal Recordings,"33 1/3 RPM - 12"""
Song of Songs,Program No. 68,,Marc Lavry,Vistas of Israel,"33 1/3 RPM - 16"""
Song of Songs and other Bible Prophecies,LEG 118,,Theodore Bikel,Legacy,"33 1/3 RPM - 12"""
Song of the Aliyah / Kaddish of Reb Levi Yitzchok of Berditchev,ND8-MC-4141 / ND8-MC-4144,,Brenda Miller; Samuel Kligfeld; Charlotte holland; Alexander Scourby,RCA Victor,"78 RPM - 12"""
Song of the Chimes (Cradle Song),64322,1913-01-24,Alma Gluck,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
Song of the Frame,618-D,1926-03-26,Tessa Kosta,Columbia,"78 RPM - 10"""
Song of the Kid,AP 219,,Vilensky; Bial; Brown,Israphon,"33 1/3 RPM - 10"""
Song of the Sephardi,RT 6403,,Rivka Raz,Zohar Production,"33 1/3 RPM - 12"""
Song of the Shepherd Lehl,64209,1911-07-19,Alma Gluck,Victrola Record,"78 RPM - 10"" single-sided"
Song of the Shepherd Lehl,64209,1911-07-19,Alma Gluck,Victor Record,"78 RPM - 10"" single-sided"
Song of the Shepherd Lehl,647-A / 647-B,1911-07-19,Alma Gluck,Victrola Record,"78 RPM - 10"""
Song of the Synagogue Cantorial Chants,CE-1052,,Cantor Arthur Koret and  Emanuel Synagogue Chior,Classic Editions,"33 1/3 RPM - 12"""
Song of the Volga Boatmen - Paraphrase,1122-A / 1122-B,1925-08-27,Fritz Kreisler,Victrola Record,"78 RPM - 10"""
Song to the Soviet Jews,NW-1001A / NW-1001B,,"Ralph Schlossberg, The Rock Cantor",New Tradition,45 RPM
Song Without Words (Chant sans paroles),66119,1922-09-14,Efrem Zimbalist,Victrola Record,"78 RPM - 10"" single-sided"
"Song Without Words - Op. 67, No. 6 - ",74607,1919-11-10,Mischa Elman,Victrola Record,"78 RPM - 12"" single-sided"
Songbook,BT26315,,Rodgers and Hammerstein,Soni Music,Cassette tape
Songs,20053/4,,Naomi Shemer,Hataklit,"33 1/3 RPM - 12"""
Songs,BAN14513,,Gevatron,Hed-Arzi,"33 1/3 RPM - 12"""
Songs & Ballads of Israel,DRC 208,,Rika Zarai,Da Vinci Records,"33 1/3 RPM - 12"""
Songs & Stories of the Jewish Holidays,DL 74621,,Herb Strauss,Decca,"33 1/3 RPM - 12"""
Songs & Stories of the Jewish Holidays,DL 4621,,Herb Strauss,Decca,"33 1/3 RPM - 12"""
Songs & Stories of the Jewish Holidays,VL 73891,,Herb Strauss,Vocalion,"33 1/3 RPM - 12"""
Songs after the Six Day War,S 63123,,Geula Gill,CBS,"33 1/3 RPM - 12"""
Songs after the Yom Kippur War,80553,,Chava Alberstein; Yehoram Gaon; Matti Caspi,CBS,"33 1/3 RPM - 12"""
Songs Along the Way,BAN 14728,,Hama 'Apil Trio,Hed-Arzi,"33 1/3 RPM - 12"""
Songs and Dances of Israel Today,VII (LP-7),,Hadarim Song and Dance Ensemble,Hadarim Records,"33 1/3 RPM - 12"""
Songs and Poems for Children,S63628,,Dahlia Friedland,CBS,"33 1/3 RPM - 12"""
Songs and Stories of the Jewish Holidays,COBY1004,,Herb Strauss,Coby,"33 1/3 RPM - 12"""
Songs and Stories That Children Love,HLTP 201,,Various,Helicon Records,"33 1/3 RPM - 12"""
Songs and Tunes from the Ghetto,SUC 12140,,Jeno Kohn,20th Century-Fox,"33 1/3 RPM - 12"""
Songs and Tunes from the Ghetto,ST 52140,,Jeno Kohn,Supraphon,"33 1/3 RPM - 12"""
Songs by Boas Sharabi - Songs in Oriental Style,VZL 515/516,,Boas Sharabi,Vistas of Israel,"33 1/3 RPM - 12"""
Songs by Cantor Bela Herskovits,E3424,,Cantor Bela Herskovits,MGM,"33 1/3 RPM - 12"""
Songs by Chaim Nachman Bialik,S 63440,,Various,CBS,"33 1/3 RPM - 12"""
Songs by Daphna Eilat,AP 322,,Arik Einstein,Israphon,"33 1/3 RPM - 12"""
Songs by Gebirtig,S 63239,,Mike Burstein,CBS,"33 1/3 RPM - 12"""
Songs by Geula Gill / Songs of Israel,VZL 145/145,,Geula Gill; [unknown],Vistas of Israel,"33 1/3 RPM - 12"""
Songs by Goldie Malavsky and The Malavsky Family Choir,M 1,,Goldie Malavsky and The Malavsky Family Choir,Tikva - Eurotone,"33 1/3 RPM - 10"""
Songs by Israel's Avi Toledano,ST 10531,,Avi Toledano,Capitol Records,"33 1/3 RPM - 12"""
Songs by Nachal,RZLP-110,,Nachal,Zimrah,"33 1/3 RPM - 12"""
Songs by Naomi Shemer,BAN 14158,,Shuly Nathan,Hed-Arzi,"33 1/3 RPM - 12"""
Songs by Rachel,63499-4,,Chava Alberstein ; Danny Granott,CBS,Cassette tape
Songs by Rachel,S 63499,,Chava Alberstein ; Danny Granott,CBS,"33 1/3 RPM - 12"""
Songs by Richard Inger,T 22,,Richard Inger,Tikva - Eurotone,"33 1/3 RPM - 10"""
Songs by Shlomo Carlebach / Songs of Israel,VZL 327/328,,Shlomo Carlebach; Geula Gil,Vistas of Israel,"33 1/3 RPM - 12"""
Songs by Ze'ev Jabotinsky,BAN 14377,,Various,Hed-Arzi,"33 1/3 RPM - 12"""
Songs by Zvi Ben-Jossef,AN 12-90,,Zvi Ben-Jossef,Hed-Arzi,"33 1/3 RPM - 10"""
Songs Children Sing: Israel,RLP 1465,,Tom Glazer and His Friends,Wonderland Music,"33 1/3 RPM - 12"""
Songs Dedicated to the Mothers of Israel / Songs of the Bible in Modern Rhythm,VZL 449/450,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Songs for a 24 Songs Parade of Children Names,SA 32045,,R.Weiss;K.Oshrat;A.koren;G.Rabin,Isradisc Ltd.,"33 1/3 RPM - 12"""
Songs for a Brother,DCH 82,,Raava Mehemna,David Chai Productions,"33 1/3 RPM - 12"""
"Songs for a Brother, Vol. 1",DCH-32,,Raya Mehemna,David Chai Productions,"33 1/3 RPM - 12"""
Songs for All Seasons,WHC 5001,,Marvin Saviutt,WHC Records,"33 1/3 RPM - 12"""
Songs for Children,52739,,Tzachi & Yael,CBS,"33 1/3 RPM - 12"""
Songs for Danny,AN 14017,,various artists,Hed-Arzi,"33 1/3 RPM - 12"""
Songs for Hannukah,2028,,Cantor David Lebovic,Bureau of Jewish Education - LA Jewish Community Council,"33 1/3 RPM - 12"""
Songs for Hanukah and other Festivals,,,Various,HMC,Cassette tape
Songs for Hanukkah,JEC 1003,,Cantor Joseph Boardman,The Jewish Education Committee,"33 1/3 RPM - 12"""
Songs for Jerusalem,100838,,Alberto Mizrahi,Opus Magica,CD
Songs for Lag Ba-Omer and Shavuot - Side 1,,,Maurice Goldman; Raasche,Bureau of Jewish Education - LA Jewish Community Council,"78 RPM - 10"""
Songs for Lag Ba-Omer and Shavuot - Side 3,,,Maurice Goldman; Raasche,Bureau of Jewish Education - LA Jewish Community Council,"78 RPM - 10"""
Songs for March of the Living,MOL92,,Vadim Dreyzin - Habonim Youth Choir,Private label,Cassette tape
Songs for Passover,JEC 1004,,Cantor Michael Kyrr; David Unterman; Joan Mey,The Jewish Education Committee of NY,"33 1/3 RPM - 12"""
Songs for Passover,T 7499,,Rabbi M.D. Margolis,RCA Victor,"78 RPM - 12"""
Songs for Passover in the Sephardic Tradition,CBS 80668,,Yehoram Gaon,CBS,"33 1/3 RPM - 12"""
Songs for Purim,T 7497 / T 7498,,Rabbi M.D. Margolis,RCA Victor,"78 RPM - 12"""
"Songs for Purim - Side 1: Ani Purim, Shoshannas Yaakov",,,Maurice Goldman,Jewish Education Los Angeles,"78 RPM - 10"""
"Songs for Purim - Side 2: Lichvod Purim, Hag Purim, Sod Shel Purim",,,Maurice Goldman,Jewish Education Los Angeles,"78 RPM - 10"""
Songs for Rosh Hashana and Succot,CBS 53730,,Various,CBS,"33 1/3 RPM - 12"""
Songs for Sabbath,T 7437 / T 7438,,Cantor Nathan Mendelson,RCA Victor,"78 RPM - 12"""
Songs for Shabbath & Happy Occassions (Oriental Style),AN 12-45,,Joseph Jo Amar; Mizmor Shir Choir,Hed-Arzi,"33 1/3 RPM - 10"""
Songs for Shavuot,JEC 1005,,Cantor Michael Kyrr; David Unterman,The Jewish Education Committee,"33 1/3 RPM - 12"""
Songs for Sukkot - Simhat Torah,JEC 1002,,Cantor Joseph Boardman,Jewish  Education,"33 1/3 RPM - 12"""
Songs for Sukkot and Simchat Torah,T 7439 / T 7440,,Cantor Nathan Mendelson,RCA Victor,"78 RPM - 12"""
Songs for the City of Peace,DK18,1988,Dov Keren,Orly Productions,"33 1/3 RPM - 10"""
Songs for the High Holidats,,,Frances T. Goldman,Nico,Cassette tape
"Songs for the High Holidays and Autumn Festivals - Side 1: Rosh Hashanah: L'Shanah Tovah, L'Shanah Tovah Tikateva",BJE-5-1-C / BJE-5-2-A ,,Maurice Goldman; Alma Pedroza,Jewish Education Los Angeles,"78 RPM - 10"""
"Songs for the High Holidays and Autumn Festivals - Side 3: Succott: What's our Succcah for?, Sisu V'simhu (Folk Song)",,,Maurice Goldman; Alma Pedroza,Jewish Education Los Angeles,"78 RPM - 10"""
Songs for the Jewish-American Jet Set,RSR 019,2011,,Idelsohn Society for Musical Preservation,CD
Songs for the Sabbath,40-63575,,Yehoram Gaon,CBS,Cassette tape
Songs for the Sabbath,S 63575,,Yehoram Gaon,CBS,"33 1/3 RPM - 12"""
"Songs for the Sabbath, vol. 2",HTM 1A/B,,Congregation Shearith Israel,Congregation Shearith Israel,"33 1/3 RPM - 12"""
Songs for Too Beshwatt,3-0250,,Cantor David Lebovic,Bureau of Jewish Education - LA Jewish Community Council,"33 1/3 RPM - 12"""
Songs for Tu Bishvat and Purim,JEC 1006,,Cantor William Wolfe,Jewish  Education,"33 1/3 RPM - 12"""
Songs for You,SI 31101,,Uzi Meiri,Isradisc Ltd.,"33 1/3 RPM - 12"""
"Songs from ""The King and the Cobbler"" / Music of Israel",VZL 243/244,,The Cameri Theatre; The Zadikoff Children's Choir,Vistas of Israel,"33 1/3 RPM - 12"""
Songs from a Passover Haggadah,950037,,Various,UAHC,CD
Songs from Haneirot Halalu - These Lights are Holy,950003,,Unknown,Transcontinental Music Publications,Cassette tape
Songs from Israel,GMX 5016,,Amsterdam Jewish Choir,Gemini Records,"33 1/3 RPM - 12"""
Songs from Israel,SW 99381,,Amsterdam Jewish Choir,London,"33 1/3 RPM - 12"""
Songs from Jewish Life,RLP 4,,Cantor Boris Voronovsky,Reena,"33 1/3 RPM - 10"""
Songs From King Solomon's Songs of Songs,s63289,,Oznat Paz; The Parvarim,CBS,"33 1/3 RPM - 12"""
Songs from Kinneret,I.M.P.-R.153,,Naomi Shemer,Israeli Music Publications,"33 1/3 RPM - 10"""
Songs from Sunny Italy,ML 2155,,Richard Tucker,Columbia,"33 1/3 RPM - 10"""
Songs from the Bible,FP 6842,,Hillel and Aviva,Folkways Ethnic Records,"33 1/3 RPM - 10"""
Songs from the Bible,FP 842,,Hillel and Aviva,Folkways Ethnic Records,"33 1/3 RPM - 10"""
Songs from the Depths of Hell,FSS 37700,,Aleksander Kulisiewicz,Folkways Ethnic Records,"33 1/3 RPM - 12"""
Songs from the Gilboa Mountains,6232,,Various,CBS,"33 1/3 RPM - 7"""
Songs from the Heart,K5R6F5B,,Cantor Kathryn Wolfe Sebo,Private label,Cassette tape
Songs from the Israeli Hit Parade / The Karmen Israeli Singers,VZL 237/238,,The Karmen Israeli Singers,Vistas of Israel,"33 1/3 RPM - 12"""
Songs from the Jewish Folklore,AN 47-64,,David and Judith Hass,Hed-Arzi,"33 1/3 RPM - 12"""
Songs from the Shtetl,,,Cantor Yitzchak Koller,Private label,CD
"Songs from the Sound of Music, Mary Poppins",70022,,Rivka Raz; Albert Cohen,CBS,"33 1/3 RPM - 12"""
"Songs from the THE WALL - Songs of the Ghetto and D.P.Camps (Yiddish Songs of love, childen and contemporary Jewish life)",FG 3558,,Norbert Horowitz; Rita Karin; Rochelle Horowitz,Folkways Ethnic Records,"33 1/3 RPM - 12"""
Songs from the Third Performance,AN48-84,,Hagashash of Israel,Hed-Arzi,"33 1/3 RPM - 12"""
Songs I Like to sing,SA32048,,Redhead Lilach,Isradisc Ltd.,"33 1/3 RPM - 12"""
Songs I Love,BAN14534,,Ilanit,Hed-Arzi,"33 1/3 RPM - 12"""
Songs I Wrote,HLP 162,,Billy Vaughn,Hamilton,"33 1/3 RPM - 12"""
"Songs in Memory of the 6,000,000",Raitzin I.B,,Misha Raitzin,American Gathering,"33 1/3 RPM - 12"""
Songs in middle of the Night,CBS 84851,,Nurit Galron,CBS,"33 1/3 RPM - 12"""
Songs in Our Time,ALS-10,,Cantor Arie Leib Subar and Choir,Private label,"33 1/3 RPM - 12"""
Songs in Our Time,,,Cantor Arie Leib Subar and Choir,Private label,Cassette tape
Songs in the Key of Simcha,MOR-1836MOR-1836,,The Messengers,Mor,"33 1/3 RPM - 12"""
Songs in Tomato Sauce,15395,,Matti Caspi,Hed-Arzi,Cassette tape
Songs My Brother Moishe Sang,T-84,,Fraydele Oysher and her daughter Marilyn,Tikva - Eurotone,"33 1/3 RPM - 12"""
Songs My Brother Moishe Sang,T-84,,Fraydele Oysher and her daughter Marilyn,Tikva - Eurotone,"33 1/3 RPM - 12"""
Songs My Bubbe Should Have Taught Me - Volume 1: Passover,100652,,Lori Cahan-Simon Ensemble,Lori Cahan-Simon,CD
Songs My Father Taught Me,SW1373,,Joel Grey,Capitol Records,"33 1/3 RPM - 12"""
Songs My Father Taught Me,ST-2755,,Joel Grey,Capitol Records,"33 1/3 RPM - 12"""
Songs My Father Taught Me,T 2755,,Joel Grey,Capitol Records,"33 1/3 RPM - 12"""
Songs My Father Taught Me,W-1373,,Joel Grey,Capitol Records,"33 1/3 RPM - 12"""
Songs My Mother Loved,R-25018,,Milton Berle,Roulette Records,"33 1/3 RPM - 12"""
Songs My Mother Never Sang,VRS9229,,Zero Mostel,Vanguard,"33 1/3 RPM - 12"""
Songs My Mother Sang to Me,JLP 6,,Malavsky Family Choir,Simcha Procutions,"33 1/3 RPM - 12"""
Songs My Mother Sang to Me,MLP-2,,Samuel Malavsky and his Family Choir,Tikva - Eurotone,"33 1/3 RPM - 10"""
Songs My Mother Taught Me,64563,1916-01-14,Fritz Kreisler,Victrola Record,"78 RPM - 10"" single-sided"
Songs NFTY Sings,CO-5061,,NFTY Folk Service,ple Youth,"33 1/3 RPM - 12"""
Songs of '48,65354,,Arik Lavi,CBS,"33 1/3 RPM - 12"""
Songs of 1972,Hillel 106,,Camp Hillel,Camp Hillel,"33 1/3 RPM - 12"""
Songs of 20 Years 1948-1968 20 Shirim,67 350,,Eytan Avitzir,Jael Recordings,"33 1/3 RPM - 12"""
Songs of a Russian Gypsy,EKS-7150,,Theodore Bikel,Elektra Entertainment,"33 1/3 RPM - 12"""
Songs of a Russian Gypsy,EKL-150,,Theodore Bikel,Elektra Entertainment,"33 1/3 RPM - 12"""
Songs of a Soviet Jewess,BR 0801,,Tamara,Isra-Art Records,"33 1/3 RPM - 12"""
Songs of Bondage & Freedom,TR-2116,,Theodore Bikel,Everest/Scala Recordings,"33 1/3 RPM - 12"""
Songs of Breslov,SB-21476,1976,Lewinter Orchestra with David Davies,Fly Studio,"33 1/3 RPM - 12"""
Songs of Canaan,CHS 1171,,Hillel and Aviva,Concert Hall Society,"33 1/3 RPM - 10"""
Songs of Chaim,Z-117,,Chaim Eliezer Herstik,Ziona Records,"33 1/3 RPM - 12"""
Songs of David,104,,Cantor Donald Roberts,Pleasure Records,"33 1/3 RPM - 12"""
Songs of David and Cantorial Prayers,R-2631,,Cantor Ray Roberts,D & R Records,"33 1/3 RPM - 12"""
Songs of Edith Piaf,BAN 14501,,Sandra Johnson ; Yona Elian,Hed-Arzi,"33 1/3 RPM - 12"""
Songs of Eretz Yisrael,81594,,Yehoram Gaon,CBS Ltd,Cassette tape
Songs of Eretz Yisrael,81594,,Yehoram Gaon,CBS,"33 1/3 RPM - 12"""
Songs of Freedom and Resistance,20-3-4248C,,Workmen's Circle Chorus,The Workmen's Circle Publisher,Cassette tape
Songs of Freedom and Resistance,20-3-4248,,Workmen's Circle Chorus,The Workmen's Circle Publisher,"33 1/3 RPM - 12"""
Songs of Gebirtig & Warshavsky,C 133,,Various,Global Village,Cassette tape
