R121,613 Torah Avenue - Vol.VI - Songs for Pirkei Avos,CR006,,Cheryle Knobel ; Rivkah Neuman,C & R Productions,"33 1/3 RPM - 12"""
R122,7 Beloved children's stories,# 9,,Esther Sofer,Studio Recordings,"33 1/3 RPM - 12"""
R123,7 Friday Night Prayers in a Conservative Synagogue,JSA 1018,,Cantor Moishe Schwimmer,JSA,CD
R124,75 Minutes with Joseph Shlisky & Gerson Sirota,B-101,,Joseph Shlisky ; Gerson Sirota,Shirim,"33 1/3 RPM - 12"""
R125,75th Anniversary of the Rabbinical Assembly,,,Aviva,Aviva Records,Cassette tape
R126,8 Famous Stories,LP12061,,Esther Sofer,Makolit,"33 1/3 RPM - 12"""
R127,87 Israeli Chassidic Festival,GR 1987,,various artists,Isra-Art Records,Cassette tape
R128,9 Cantorial Selections,102331,2013,,Judaica,CD
R129,90 Minutes of the Finest Jewish Entertainment,GRC 408,,Various,Greater Recording Co.,Cassette tape
R130,96 Voices in Harmony,AP 215,,Zadikov Children Choir,Israphon,"33 1/3 RPM - 10"""
R131,A Ball In Himmel,E1737,1914-02-11,M. Gutmann,Columbia,"78 RPM - 10"""
